收盘,日期
1.238,2025-09-26
1.257,2025-09-29
1.262,2025-09-30
1.282,2025-10-09
1.257,2025-10-10
1.249,2025-10-13
1.238,2025-10-14
1.253,2025-10-15
1.258,2025-10-16
1.231,2025-10-17
1.237,2025-10-20
1.254,2025-10-21
1.249,2025-10-22
1.256,2025-10-23
1.268,2025-10-24
1.284,2025-10-27
1.279,2025-10-28
1.293,2025-10-29
1.285,2025-10-30
1.267,2025-10-31
1.269,2025-11-03
1.262,2025-11-04
1.261,2025-11-05
1.279,2025-11-06
1.275,2025-11-07
1.28,2025-11-10
1.269,2025-11-11
1.27,2025-11-12
1.282,2025-11-13
1.262,2025-11-14
1.256,2025-11-17
1.247,2025-11-18
1.25,2025-11-19
1.246,2025-11-20
1.217,2025-11-21
1.214,2025-11-24
1.224,2025-11-25
1.232,2025-11-26
1.23,2025-11-27
1.236,2025-11-28
1.248,2025-12-01
1.242,2025-12-02
1.237,2025-12-03
1.241,2025-12-04
1.251,2025-12-05
1.259,2025-12-08
1.255,2025-12-09
1.252,2025-12-10
1.245,2025-12-11
1.25,2025-12-12
1.244,2025-12-15
1.23,2025-12-16
1.252,2025-12-17
1.244,2025-12-18
1.248,2025-12-19
1.259,2025-12-22
1.262,2025-12-23
1.266,2025-12-24
1.269,2025-12-25
1.273,2025-12-26
1.27,2025-12-29
1.271,2025-12-30
1.266,2025-12-31
1.289,2026-01-05
1.308,2026-01-06
1.304,2026-01-07
1.295,2026-01-08
1.3,2026-01-09
1.311,2026-01-12
1.302,2026-01-13
1.297,2026-01-14
1.297,2026-01-15
1.293,2026-01-16
1.294,2026-01-19
1.29,2026-01-20
1.291,2026-01-21
1.29,2026-01-22
1.285,2026-01-23
