收盘,日期
99.622,2025-09-26
99.648,2025-09-29
99.73,2025-09-30
99.616,2025-10-09
99.657,2025-10-10
99.704,2025-10-13
99.692,2025-10-14
99.636,2025-10-15
99.712,2025-10-16
99.82,2025-10-17
99.886,2025-10-20
99.897,2025-10-21
99.975,2025-10-22
100.009,2025-10-23
100.045,2025-10-24
100.066,2025-10-27
100.143,2025-10-28
100.2,2025-10-29
100.256,2025-10-30
100.34,2025-10-31
100.38,2025-11-03
100.35,2025-11-04
100.389,2025-11-05
100.386,2025-11-06
100.362,2025-11-07
100.342,2025-11-10
100.346,2025-11-11
100.364,2025-11-12
100.343,2025-11-13
100.363,2025-11-14
100.383,2025-11-17
100.41,2025-11-18
100.397,2025-11-19
100.41,2025-11-20
100.4,2025-11-21
100.36,2025-11-24
100.28,2025-11-25
100.2,2025-11-26
100.15,2025-11-27
100.146,2025-11-28
100.15,2025-12-01
100.154,2025-12-02
100.15,2025-12-03
100.074,2025-12-04
100.074,2025-12-05
99.987,2025-12-08
99.999,2025-12-09
100.01,2025-12-10
100.058,2025-12-11
100.065,2025-12-12
100.034,2025-12-15
100.032,2025-12-16
100.025,2025-12-17
100.074,2025-12-18
100.114,2025-12-19
100.15,2025-12-22
100.227,2025-12-23
100.239,2025-12-24
100.295,2025-12-25
100.373,2025-12-26
100.318,2025-12-29
100.305,2025-12-30
100.291,2025-12-31
100.195,2026-01-05
100.128,2026-01-06
100.22,2026-01-07
100.273,2026-01-08
100.31,2026-01-09
100.315,2026-01-12
100.327,2026-01-13
100.353,2026-01-14
100.365,2026-01-15
100.433,2026-01-16
100.397,2026-01-19
100.441,2026-01-20
100.48,2026-01-21
100.46,2026-01-22
100.53,2026-01-23
