收盘,日期
1.018,2025-09-26
1.024,2025-09-29
1.022,2025-09-30
1.032,2025-10-09
1.042,2025-10-10
1.04,2025-10-13
1.047,2025-10-14
1.048,2025-10-15
1.048,2025-10-16
1.044,2025-10-17
1.054,2025-10-20
1.052,2025-10-21
1.057,2025-10-22
1.063,2025-10-23
1.054,2025-10-24
1.058,2025-10-27
1.055,2025-10-28
1.053,2025-10-29
1.055,2025-10-30
1.052,2025-10-31
1.062,2025-11-03
1.066,2025-11-04
1.068,2025-11-05
1.072,2025-11-06
1.077,2025-11-07
1.088,2025-11-10
1.09,2025-11-11
1.096,2025-11-12
1.094,2025-11-13
1.09,2025-11-14
1.082,2025-11-17
1.069,2025-11-18
1.072,2025-11-19
1.078,2025-11-20
1.057,2025-11-21
1.053,2025-11-24
1.057,2025-11-25
1.055,2025-11-26
1.061,2025-11-27
1.057,2025-11-28
1.063,2025-12-01
1.068,2025-12-02
1.068,2025-12-03
1.064,2025-12-04
1.065,2025-12-05
1.06,2025-12-08
1.056,2025-12-09
1.05,2025-12-10
1.044,2025-12-11
1.044,2025-12-12
1.048,2025-12-15
1.04,2025-12-16
1.043,2025-12-17
1.044,2025-12-18
1.046,2025-12-19
1.042,2025-12-22
1.04,2025-12-23
1.043,2025-12-24
1.047,2025-12-25
1.047,2025-12-26
1.047,2025-12-29
1.039,2025-12-30
1.036,2025-12-31
1.037,2026-01-05
1.04,2026-01-06
1.038,2026-01-07
1.035,2026-01-08
1.037,2026-01-09
1.046,2026-01-12
1.042,2026-01-13
1.034,2026-01-14
1.037,2026-01-15
1.03,2026-01-16
1.03,2026-01-19
1.039,2026-01-20
1.033,2026-01-21
1.036,2026-01-22
1.038,2026-01-23
